                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.98468,                0.50304,                0.87216,                0.52265,                0.58108,                0.51975,                0.34755,                0.90243,                0.37986,                0.99624,               0.003961,               0.003961,               0.003961
                     64,                0.97854,                0.50053,                0.87212,                0.48655,                0.59745,                0.52762,                0.35431,                0.89944,                0.38093,                0.99663,               0.003862,               0.003862,               0.003862
                     65,                0.96997,                  0.495,                0.87149,                 0.4757,                0.58686,                0.52933,                0.35338,                0.89205,                0.38795,                0.99697,               0.003763,               0.003763,               0.003763
                     66,                0.96552,                0.49215,                0.87037,                0.48284,                 0.5735,                0.52945,                0.35146,                0.88031,                0.39281,                0.99323,               0.003664,               0.003664,               0.003664
                     67,                0.97398,                0.49483,                 0.8679,                0.51849,                0.55668,                0.54436,                0.35803,                0.86942,                  0.394,                0.98968,               0.003565,               0.003565,               0.003565
                     68,                0.97261,                0.49598,                0.87086,                0.54584,                0.55738,                 0.5661,                0.36775,                0.86818,                0.37493,                0.98708,               0.003466,               0.003466,               0.003466
                     69,                0.95796,                0.48491,                 0.8697,                0.59208,                0.54799,                0.56224,                0.36749,                0.86988,                 0.3663,                0.98863,               0.003367,               0.003367,               0.003367
                     70,                0.96559,                0.49021,                0.86911,                0.58561,                 0.5634,                0.56805,                0.36564,                0.87486,                0.36862,                0.99009,               0.003268,               0.003268,               0.003268
                     71,                0.95804,                0.48523,                0.86609,                0.56728,                0.56436,                0.56561,                0.36087,                0.87528,                 0.3695,                 0.9909,               0.003169,               0.003169,               0.003169
                     72,                0.95954,                0.48476,                0.86708,                0.53943,                0.57808,                0.56418,                0.36208,                0.87867,                0.36987,                0.99289,                0.00307,                0.00307,                0.00307
                     73,                0.94773,                0.47856,                0.86563,                0.55042,                0.56453,                0.55727,                0.36106,                0.87944,                0.36962,                0.99401,               0.002971,               0.002971,               0.002971
                     74,                0.95024,                0.47678,                0.86488,                0.53314,                0.57301,                0.55528,                 0.3621,                0.87607,                0.36842,                0.99386,               0.002872,               0.002872,               0.002872
